task_completion,attendance_punctuality,communication_teamwork,initiative_adaptability,quality_of_work,target_classification,label_task_completion,label_attendance_punctuality,label_communication_teamwork,label_initiative_adaptability,label_quality_of_work
4.04,4.05,3.59,4.22,5.0,meets_expectations,meets_expectations,meets_expectations,needs_improvement,meets_expectations,meets_expectations
2.84,3.4,2.72,2.79,4.01,critical_gap,critical_gap,needs_improvement,critical_gap,critical_gap,meets_expectations
4.71,4.41,5.0,3.66,3.99,needs_improvement,meets_expectations,meets_expectations,meets_expectations,needs_improvement,needs_improvement
4.17,4.2,4.49,3.88,4.21,meets_expectations,meets_expectations,meets_expectations,meets_expectations,needs_improvement,meets_expectations
2.82,3.57,3.05,2.98,4.14,critical_gap,critical_gap,needs_improvement,critical_gap,critical_gap,meets_expectations
1.01,1.42,1.24,2.19,1.93,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
2.67,3.33,2.54,2.81,3.43,critical_gap,critical_gap,needs_improvement,critical_gap,critical_gap,needs_improvement
3.6,4.14,3.18,2.74,3.5,critical_gap,needs_improvement,meets_expectations,critical_gap,critical_gap,needs_improvement
2.04,3.35,1.88,2.12,3.38,critical_gap,critical_gap,needs_improvement,critical_gap,critical_gap,needs_improvement
2.9,1.49,1.92,2.21,2.43,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
2.23,2.41,2.08,2.44,3.32,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,needs_improvement
2.98,4.04,2.98,2.42,3.17,critical_gap,critical_gap,meets_expectations,critical_gap,critical_gap,critical_gap
4.75,4.68,5.0,5.0,4.22,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations
3.05,3.73,4.24,5.0,4.17,needs_improvement,critical_gap,needs_improvement,meets_expectations,meets_expectations,meets_expectations
3.59,4.0,4.3,4.29,4.05,meets_expectations,needs_improvement,meets_expectations,meets_expectations,meets_expectations,meets_expectations
3.16,4.49,4.08,3.37,2.98,critical_gap,critical_gap,meets_expectations,meets_expectations,needs_improvement,critical_gap
5.0,5.0,5.0,4.03,5.0,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations
5.0,4.04,4.53,5.0,5.0,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations
2.12,1.71,2.69,1.0,2.95,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
4.25,3.63,4.36,4.5,4.4,meets_expectations,meets_expectations,needs_improvement,meets_expectations,meets_expectations,meets_expectations
2.77,2.79,2.75,2.45,2.55,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
4.59,3.3,3.77,3.19,3.55,critical_gap,meets_expectations,needs_improvement,needs_improvement,critical_gap,needs_improvement
4.8,4.79,4.71,4.91,4.33,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations
2.11,1.0,1.0,1.37,1.79,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
2.13,3.18,4.05,3.81,4.52,critical_gap,critical_gap,critical_gap,meets_expectations,needs_improvement,meets_expectations
4.18,1.76,3.2,2.51,3.18,critical_gap,meets_expectations,critical_gap,needs_improvement,critical_gap,critical_gap
3.34,4.1,3.37,1.94,2.53,critical_gap,needs_improvement,meets_expectations,needs_improvement,critical_gap,critical_gap
4.04,4.05,3.97,3.94,2.69,critical_gap,meets_expectations,meets_expectations,needs_improvement,needs_improvement,critical_gap
4.48,4.15,3.82,3.83,3.73,needs_improvement,meets_expectations,meets_expectations,needs_improvement,needs_improvement,needs_improvement
5.0,3.44,3.6,2.52,5.0,critical_gap,meets_expectations,needs_improvement,needs_improvement,critical_gap,meets_expectations
4.03,4.31,3.77,3.66,3.64,needs_improvement,meets_expectations,meets_expectations,needs_improvement,needs_improvement,needs_improvement
4.28,4.17,4.22,3.0,2.92,critical_gap,meets_expectations,meets_expectations,meets_expectations,critical_gap,critical_gap
2.99,3.34,2.99,3.29,3.09,critical_gap,critical_gap,needs_improvement,critical_gap,needs_improvement,critical_gap
2.18,2.01,3.28,3.23,2.42,critical_gap,critical_gap,critical_gap,needs_improvement,needs_improvement,critical_gap
4.13,4.42,4.57,3.52,5.0,meets_expectations,meets_expectations,meets_expectations,meets_expectations,needs_improvement,meets_expectations
1.5,3.03,2.1,3.32,2.47,critical_gap,critical_gap,critical_gap,critical_gap,needs_improvement,critical_gap
4.39,5.0,5.0,5.0,5.0,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations
1.09,2.02,1.88,2.48,2.11,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
3.01,2.59,4.08,3.41,3.17,critical_gap,critical_gap,critical_gap,meets_expectations,needs_improvement,critical_gap
3.24,3.18,2.39,1.36,3.16,critical_gap,needs_improvement,critical_gap,critical_gap,critical_gap,critical_gap
2.79,2.61,2.65,1.39,2.17,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
3.65,2.93,3.16,5.0,4.02,critical_gap,needs_improvement,critical_gap,critical_gap,meets_expectations,meets_expectations
3.53,2.61,3.49,3.08,2.92,critical_gap,needs_improvement,critical_gap,needs_improvement,critical_gap,critical_gap
1.79,3.2,3.8,3.54,2.53,critical_gap,critical_gap,needs_improvement,needs_improvement,needs_improvement,critical_gap
3.44,4.31,4.18,3.8,4.13,needs_improvement,needs_improvement,meets_expectations,meets_expectations,needs_improvement,meets_expectations
1.93,3.74,4.04,3.54,4.34,critical_gap,critical_gap,needs_improvement,meets_expectations,needs_improvement,meets_expectations
2.21,1.99,2.52,2.67,2.82,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
3.42,2.83,1.55,3.78,2.81,critical_gap,needs_improvement,critical_gap,critical_gap,needs_improvement,critical_gap
3.14,2.81,2.86,1.64,2.02,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
3.45,2.64,2.11,3.35,2.74,critical_gap,needs_improvement,critical_gap,critical_gap,needs_improvement,critical_gap
3.51,2.38,3.28,1.0,1.0,critical_gap,needs_improvement,critical_gap,needs_improvement,critical_gap,critical_gap
2.88,3.8,3.98,3.93,5.0,critical_gap,critical_gap,needs_improvement,needs_improvement,needs_improvement,meets_expectations
3.51,1.42,2.18,1.62,1.99,critical_gap,needs_improvement,critical_gap,critical_gap,critical_gap,critical_gap
5.0,4.21,4.78,3.94,2.14,needs_improvement,meets_expectations,meets_expectations,meets_expectations,needs_improvement,critical_gap
5.0,4.6,4.55,5.0,4.34,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations
4.81,2.63,4.19,3.51,3.97,critical_gap,meets_expectations,critical_gap,meets_expectations,needs_improvement,needs_improvement
1.87,2.07,2.76,3.1,2.92,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
3.4,3.01,3.66,3.51,4.12,critical_gap,needs_improvement,critical_gap,needs_improvement,needs_improvement,meets_expectations
4.5,1.86,4.85,3.58,2.03,critical_gap,meets_expectations,critical_gap,meets_expectations,needs_improvement,critical_gap
4.57,4.02,3.94,4.05,4.38,meets_expectations,meets_expectations,meets_expectations,needs_improvement,meets_expectations,meets_expectations
3.48,4.9,3.6,4.14,4.11,needs_improvement,needs_improvement,meets_expectations,needs_improvement,meets_expectations,meets_expectations
3.86,4.31,4.1,4.62,4.65,meets_expectations,needs_improvement,meets_expectations,meets_expectations,meets_expectations,meets_expectations
5.0,5.0,4.33,4.1,4.75,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations
4.13,4.55,4.43,5.0,3.97,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations,needs_improvement
4.91,4.52,3.7,4.64,3.95,needs_improvement,meets_expectations,meets_expectations,needs_improvement,meets_expectations,needs_improvement
4.3,5.0,4.42,4.08,4.93,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations
5.0,3.91,4.8,5.0,4.82,meets_expectations,meets_expectations,needs_improvement,meets_expectations,meets_expectations,meets_expectations
4.38,3.71,3.38,3.51,3.78,needs_improvement,meets_expectations,needs_improvement,needs_improvement,needs_improvement,needs_improvement
3.53,3.77,3.57,4.5,5.0,needs_improvement,needs_improvement,needs_improvement,needs_improvement,meets_expectations,meets_expectations
4.29,4.88,3.5,2.27,5.0,needs_improvement,meets_expectations,meets_expectations,needs_improvement,critical_gap,meets_expectations
3.59,1.74,1.07,1.94,2.3,critical_gap,needs_improvement,critical_gap,critical_gap,critical_gap,critical_gap
4.25,3.86,5.0,3.5,3.92,needs_improvement,meets_expectations,needs_improvement,meets_expectations,needs_improvement,needs_improvement
3.53,3.75,4.3,4.48,3.37,needs_improvement,needs_improvement,needs_improvement,meets_expectations,meets_expectations,needs_improvement
4.21,3.97,4.19,3.73,4.05,needs_improvement,meets_expectations,needs_improvement,meets_expectations,needs_improvement,meets_expectations
5.0,4.03,2.73,3.29,3.95,critical_gap,meets_expectations,meets_expectations,critical_gap,needs_improvement,needs_improvement
2.07,2.16,2.6,3.26,2.56,critical_gap,critical_gap,critical_gap,critical_gap,needs_improvement,critical_gap
3.49,2.98,3.69,3.6,3.83,critical_gap,needs_improvement,critical_gap,needs_improvement,needs_improvement,needs_improvement
4.23,3.81,3.6,3.85,3.26,needs_improvement,meets_expectations,needs_improvement,needs_improvement,needs_improvement,needs_improvement
4.18,3.07,2.91,3.68,3.13,critical_gap,meets_expectations,critical_gap,critical_gap,needs_improvement,critical_gap
3.94,3.97,3.94,3.96,4.22,needs_improvement,needs_improvement,needs_improvement,needs_improvement,needs_improvement,meets_expectations
4.7,4.54,4.98,4.98,4.37,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations
4.98,4.08,4.46,4.66,4.07,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations
5.0,3.65,4.57,4.2,3.8,needs_improvement,meets_expectations,needs_improvement,meets_expectations,meets_expectations,needs_improvement
3.44,2.71,3.81,1.0,3.66,critical_gap,needs_improvement,critical_gap,needs_improvement,critical_gap,needs_improvement
4.26,4.28,4.2,4.37,5.0,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations
3.9,3.75,4.4,4.06,3.4,needs_improvement,needs_improvement,needs_improvement,meets_expectations,meets_expectations,needs_improvement
3.67,2.99,2.27,1.42,2.77,critical_gap,needs_improvement,critical_gap,critical_gap,critical_gap,critical_gap
3.44,3.87,3.75,2.87,3.52,critical_gap,needs_improvement,needs_improvement,needs_improvement,critical_gap,needs_improvement
4.12,3.76,3.77,3.53,4.49,needs_improvement,meets_expectations,needs_improvement,needs_improvement,needs_improvement,meets_expectations
3.71,3.43,2.99,3.47,3.87,critical_gap,needs_improvement,needs_improvement,critical_gap,needs_improvement,needs_improvement
4.76,4.69,4.15,3.94,3.8,needs_improvement,meets_expectations,meets_expectations,meets_expectations,needs_improvement,needs_improvement
3.01,2.76,4.29,3.63,3.78,critical_gap,critical_gap,critical_gap,meets_expectations,needs_improvement,needs_improvement
4.83,3.26,3.06,4.82,3.14,critical_gap,meets_expectations,needs_improvement,critical_gap,meets_expectations,critical_gap
3.9,4.37,4.05,4.49,4.59,meets_expectations,needs_improvement,meets_expectations,meets_expectations,meets_expectations,meets_expectations
1.24,2.15,2.36,1.82,1.98,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
3.37,3.65,4.22,4.26,3.51,needs_improvement,needs_improvement,needs_improvement,meets_expectations,meets_expectations,needs_improvement
3.58,3.66,3.03,3.13,4.68,critical_gap,needs_improvement,needs_improvement,critical_gap,critical_gap,meets_expectations
4.03,3.69,3.86,3.44,4.25,needs_improvement,meets_expectations,needs_improvement,needs_improvement,needs_improvement,meets_expectations
3.15,3.5,3.17,2.62,2.26,critical_gap,critical_gap,needs_improvement,critical_gap,critical_gap,critical_gap
4.31,3.81,3.49,3.99,4.21,needs_improvement,meets_expectations,needs_improvement,needs_improvement,needs_improvement,meets_expectations
3.03,3.05,4.26,2.43,1.88,critical_gap,critical_gap,critical_gap,meets_expectations,critical_gap,critical_gap
3.44,3.03,4.1,2.63,3.05,critical_gap,needs_improvement,critical_gap,meets_expectations,critical_gap,critical_gap
2.47,2.61,2.87,2.29,3.28,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,needs_improvement
5.0,2.53,3.32,1.74,3.1,critical_gap,meets_expectations,critical_gap,needs_improvement,critical_gap,critical_gap
3.47,2.79,3.75,3.91,4.03,critical_gap,needs_improvement,critical_gap,needs_improvement,needs_improvement,meets_expectations
3.79,4.26,4.04,2.9,4.0,needs_improvement,needs_improvement,meets_expectations,meets_expectations,critical_gap,meets_expectations
1.0,2.19,3.4,2.57,3.33,critical_gap,critical_gap,critical_gap,needs_improvement,critical_gap,needs_improvement
1.33,2.97,1.14,1.93,1.93,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
4.48,3.87,4.06,3.13,4.88,needs_improvement,meets_expectations,needs_improvement,meets_expectations,critical_gap,meets_expectations
4.21,4.13,5.0,4.18,4.2,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations
4.63,2.68,2.14,2.31,2.87,critical_gap,meets_expectations,critical_gap,critical_gap,critical_gap,critical_gap
4.87,4.92,5.0,4.61,3.96,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations,needs_improvement
2.72,2.38,1.75,2.38,1.33,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
1.91,3.23,2.17,3.39,3.47,critical_gap,critical_gap,needs_improvement,critical_gap,needs_improvement,needs_improvement
1.89,2.08,2.76,1.86,2.55,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
2.42,1.97,3.46,2.68,1.59,critical_gap,critical_gap,critical_gap,needs_improvement,critical_gap,critical_gap
1.58,3.63,1.21,5.0,3.03,critical_gap,critical_gap,needs_improvement,critical_gap,meets_expectations,critical_gap
3.7,4.06,3.82,3.92,4.56,needs_improvement,needs_improvement,meets_expectations,needs_improvement,needs_improvement,meets_expectations
4.77,5.0,2.34,3.48,2.36,critical_gap,meets_expectations,meets_expectations,critical_gap,needs_improvement,critical_gap
4.11,5.0,4.55,4.83,4.16,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations
2.86,3.28,4.05,2.53,1.41,critical_gap,critical_gap,needs_improvement,meets_expectations,critical_gap,critical_gap
3.51,2.69,3.51,2.4,2.52,critical_gap,needs_improvement,critical_gap,needs_improvement,critical_gap,critical_gap
4.26,2.92,3.84,3.84,4.04,critical_gap,meets_expectations,critical_gap,needs_improvement,needs_improvement,meets_expectations
3.94,3.6,2.94,2.77,3.09,critical_gap,needs_improvement,needs_improvement,critical_gap,critical_gap,critical_gap
1.13,1.69,1.49,2.17,2.31,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
2.8,4.48,1.0,2.83,3.07,critical_gap,critical_gap,meets_expectations,critical_gap,critical_gap,critical_gap
3.42,5.0,3.77,3.78,3.47,needs_improvement,needs_improvement,meets_expectations,needs_improvement,needs_improvement,needs_improvement
1.58,2.05,3.82,2.31,2.62,critical_gap,critical_gap,critical_gap,needs_improvement,critical_gap,critical_gap
2.98,1.7,2.37,1.0,2.5,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
2.73,3.12,3.33,4.61,3.72,critical_gap,critical_gap,critical_gap,needs_improvement,meets_expectations,needs_improvement
2.02,1.33,1.88,1.08,2.5,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
2.16,1.21,2.52,1.72,1.97,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
4.31,3.97,1.66,2.38,1.57,critical_gap,meets_expectations,needs_improvement,critical_gap,critical_gap,critical_gap
3.83,4.1,3.9,4.11,4.78,needs_improvement,needs_improvement,meets_expectations,needs_improvement,meets_expectations,meets_expectations
3.15,3.92,3.44,3.87,2.45,critical_gap,critical_gap,needs_improvement,needs_improvement,needs_improvement,critical_gap
4.63,4.47,4.53,4.79,4.64,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations
4.52,3.72,3.18,3.69,3.67,critical_gap,meets_expectations,needs_improvement,critical_gap,needs_improvement,needs_improvement
4.79,4.68,4.97,5.0,4.67,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations
3.73,4.88,4.43,5.0,4.57,meets_expectations,needs_improvement,meets_expectations,meets_expectations,meets_expectations,meets_expectations
4.31,4.73,4.95,4.71,4.8,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations
4.75,3.42,4.82,2.2,3.32,critical_gap,meets_expectations,needs_improvement,meets_expectations,critical_gap,needs_improvement
2.24,1.0,1.0,1.49,2.65,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
3.57,4.41,3.76,4.16,3.55,needs_improvement,needs_improvement,meets_expectations,needs_improvement,meets_expectations,needs_improvement
1.84,2.39,3.1,2.33,2.05,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
3.38,2.3,1.75,1.64,2.94,critical_gap,needs_improvement,critical_gap,critical_gap,critical_gap,critical_gap
3.47,1.68,3.24,3.71,2.78,critical_gap,needs_improvement,critical_gap,needs_improvement,needs_improvement,critical_gap
4.27,4.5,4.42,4.24,4.34,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations
4.65,3.96,4.32,4.5,4.83,meets_expectations,meets_expectations,needs_improvement,meets_expectations,meets_expectations,meets_expectations
2.38,2.45,2.73,2.48,2.92,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
3.81,3.47,3.76,3.14,3.99,critical_gap,needs_improvement,needs_improvement,needs_improvement,critical_gap,needs_improvement
3.49,3.45,2.93,2.89,3.57,critical_gap,needs_improvement,needs_improvement,critical_gap,critical_gap,needs_improvement
2.96,1.72,4.77,2.66,3.3,critical_gap,critical_gap,critical_gap,meets_expectations,critical_gap,needs_improvement
4.19,4.12,3.64,4.03,4.58,meets_expectations,meets_expectations,meets_expectations,needs_improvement,meets_expectations,meets_expectations
2.88,3.97,3.62,3.11,3.1,critical_gap,critical_gap,needs_improvement,needs_improvement,critical_gap,critical_gap
3.79,4.41,3.33,4.25,3.79,needs_improvement,needs_improvement,meets_expectations,needs_improvement,meets_expectations,needs_improvement
4.19,4.9,4.86,4.14,4.45,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations
3.7,3.76,3.04,4.44,3.21,critical_gap,needs_improvement,needs_improvement,critical_gap,meets_expectations,needs_improvement
3.47,3.96,4.55,4.17,4.0,needs_improvement,needs_improvement,needs_improvement,meets_expectations,meets_expectations,meets_expectations
4.06,3.9,2.47,3.87,3.7,critical_gap,meets_expectations,needs_improvement,critical_gap,needs_improvement,needs_improvement
4.69,4.99,4.23,4.88,1.6,needs_improvement,meets_expectations,meets_expectations,meets_expectations,meets_expectations,critical_gap
4.12,4.79,3.81,4.14,4.15,meets_expectations,meets_expectations,meets_expectations,needs_improvement,meets_expectations,meets_expectations
2.06,2.6,1.91,2.0,1.95,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
1.14,2.29,2.07,2.84,1.87,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
4.19,4.24,4.65,3.66,3.43,needs_improvement,meets_expectations,meets_expectations,meets_expectations,needs_improvement,needs_improvement
2.39,2.44,2.1,2.53,2.38,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
4.44,3.82,5.0,3.63,4.74,needs_improvement,meets_expectations,needs_improvement,meets_expectations,needs_improvement,meets_expectations
2.77,2.85,2.15,2.82,2.48,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
4.12,2.72,3.07,3.03,3.13,critical_gap,meets_expectations,critical_gap,critical_gap,critical_gap,critical_gap
2.5,1.87,3.03,2.6,1.88,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
1.0,1.0,1.0,1.0,2.26,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
3.26,3.93,3.54,3.96,3.86,needs_improvement,needs_improvement,needs_improvement,needs_improvement,needs_improvement,needs_improvement
4.08,3.06,3.3,3.75,3.7,critical_gap,meets_expectations,critical_gap,needs_improvement,needs_improvement,needs_improvement
1.69,1.94,1.99,1.17,1.62,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
3.08,3.83,3.53,3.49,4.56,critical_gap,critical_gap,needs_improvement,needs_improvement,needs_improvement,meets_expectations
3.84,4.12,4.46,5.0,4.3,meets_expectations,needs_improvement,meets_expectations,meets_expectations,meets_expectations,meets_expectations
3.4,4.51,2.09,2.39,3.58,critical_gap,needs_improvement,meets_expectations,critical_gap,critical_gap,needs_improvement
3.56,4.46,4.18,4.42,3.7,needs_improvement,needs_improvement,meets_expectations,meets_expectations,meets_expectations,needs_improvement
4.88,4.03,5.0,2.91,3.58,needs_improvement,meets_expectations,meets_expectations,meets_expectations,critical_gap,needs_improvement
4.13,3.85,3.89,4.59,3.95,needs_improvement,meets_expectations,needs_improvement,needs_improvement,meets_expectations,needs_improvement
3.17,3.83,3.25,3.54,2.84,critical_gap,critical_gap,needs_improvement,needs_improvement,needs_improvement,critical_gap
3.84,3.94,3.98,4.05,4.57,needs_improvement,needs_improvement,needs_improvement,needs_improvement,meets_expectations,meets_expectations
3.36,3.9,1.72,4.33,3.51,critical_gap,needs_improvement,needs_improvement,critical_gap,meets_expectations,needs_improvement
3.78,3.29,2.95,3.92,3.76,critical_gap,needs_improvement,needs_improvement,critical_gap,needs_improvement,needs_improvement
1.93,2.37,1.16,2.36,2.29,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
4.56,3.62,3.58,4.2,4.3,needs_improvement,meets_expectations,needs_improvement,needs_improvement,meets_expectations,meets_expectations
1.0,2.87,1.07,3.91,3.0,critical_gap,critical_gap,critical_gap,critical_gap,needs_improvement,critical_gap
3.33,3.13,3.3,2.76,4.5,critical_gap,needs_improvement,critical_gap,needs_improvement,critical_gap,meets_expectations
3.13,3.36,3.74,3.15,2.98,critical_gap,critical_gap,needs_improvement,needs_improvement,critical_gap,critical_gap
2.94,2.65,3.71,4.0,4.18,critical_gap,critical_gap,critical_gap,needs_improvement,meets_expectations,meets_expectations
3.58,3.91,3.94,3.15,2.96,critical_gap,needs_improvement,needs_improvement,needs_improvement,critical_gap,critical_gap
2.48,2.11,3.5,2.18,3.66,critical_gap,critical_gap,critical_gap,needs_improvement,critical_gap,needs_improvement
4.68,4.71,5.0,5.0,5.0,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations
2.86,3.02,4.33,3.66,2.45,critical_gap,critical_gap,critical_gap,meets_expectations,needs_improvement,critical_gap
3.65,3.57,4.02,3.92,3.38,needs_improvement,needs_improvement,needs_improvement,meets_expectations,needs_improvement,needs_improvement
2.16,3.16,2.11,2.53,2.21,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
4.9,3.24,4.95,3.29,3.93,needs_improvement,meets_expectations,needs_improvement,meets_expectations,needs_improvement,needs_improvement
2.0,2.34,3.34,1.83,1.24,critical_gap,critical_gap,critical_gap,needs_improvement,critical_gap,critical_gap
4.68,4.04,5.0,5.0,3.32,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations,needs_improvement
3.44,3.68,3.6,3.47,2.9,critical_gap,needs_improvement,needs_improvement,needs_improvement,needs_improvement,critical_gap
4.67,4.84,3.89,4.32,4.2,meets_expectations,meets_expectations,meets_expectations,needs_improvement,meets_expectations,meets_expectations
2.79,2.37,2.19,3.33,2.68,critical_gap,critical_gap,critical_gap,critical_gap,needs_improvement,critical_gap
3.88,3.56,2.14,3.44,3.44,critical_gap,needs_improvement,needs_improvement,critical_gap,needs_improvement,needs_improvement
2.14,1.38,3.56,2.19,2.53,critical_gap,critical_gap,critical_gap,needs_improvement,critical_gap,critical_gap
2.76,4.36,3.64,3.26,3.84,critical_gap,critical_gap,meets_expectations,needs_improvement,needs_improvement,needs_improvement
5.0,5.0,5.0,4.13,5.0,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations
3.14,2.86,4.09,4.17,3.35,critical_gap,critical_gap,critical_gap,meets_expectations,meets_expectations,needs_improvement
1.63,1.29,1.0,1.0,1.73,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
3.74,3.5,3.42,3.29,3.51,needs_improvement,needs_improvement,needs_improvement,needs_improvement,needs_improvement,needs_improvement
1.45,2.65,3.01,1.75,2.36,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
4.39,4.95,5.0,4.59,3.79,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations,needs_improvement
4.4,3.06,3.81,3.73,4.44,critical_gap,meets_expectations,critical_gap,needs_improvement,needs_improvement,meets_expectations
4.98,5.0,4.67,3.67,4.28,meets_expectations,meets_expectations,meets_expectations,meets_expectations,needs_improvement,meets_expectations
4.46,4.61,5.0,3.61,4.28,meets_expectations,meets_expectations,meets_expectations,meets_expectations,needs_improvement,meets_expectations
5.0,4.48,4.1,4.35,4.61,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations
4.73,4.18,4.77,4.03,4.5,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations
3.74,3.74,3.22,3.57,3.99,needs_improvement,needs_improvement,needs_improvement,needs_improvement,needs_improvement,needs_improvement
2.94,3.74,3.18,4.04,1.85,critical_gap,critical_gap,needs_improvement,critical_gap,meets_expectations,critical_gap
4.48,4.28,2.87,4.3,3.11,critical_gap,meets_expectations,meets_expectations,critical_gap,meets_expectations,critical_gap
4.22,3.96,4.28,5.0,4.38,meets_expectations,meets_expectations,needs_improvement,meets_expectations,meets_expectations,meets_expectations
3.67,3.94,4.19,3.37,3.95,needs_improvement,needs_improvement,needs_improvement,meets_expectations,needs_improvement,needs_improvement
1.62,1.74,1.12,1.02,1.98,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
2.96,2.32,2.33,2.71,3.3,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,needs_improvement
3.98,4.02,3.72,4.48,3.75,needs_improvement,needs_improvement,meets_expectations,needs_improvement,meets_expectations,needs_improvement
3.06,2.68,1.78,1.77,1.0,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
1.96,2.76,2.03,1.67,2.37,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
3.95,4.05,3.18,3.69,3.9,critical_gap,needs_improvement,meets_expectations,critical_gap,needs_improvement,needs_improvement
3.53,2.71,3.07,3.15,3.13,critical_gap,needs_improvement,critical_gap,critical_gap,critical_gap,critical_gap
2.28,1.49,1.0,1.46,2.41,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
4.4,4.02,2.92,3.39,3.13,critical_gap,meets_expectations,meets_expectations,critical_gap,needs_improvement,critical_gap
3.8,1.88,3.72,3.76,2.47,critical_gap,needs_improvement,critical_gap,needs_improvement,needs_improvement,critical_gap
3.82,4.26,3.17,4.38,4.06,needs_improvement,needs_improvement,meets_expectations,critical_gap,meets_expectations,meets_expectations
2.79,3.46,2.23,2.22,2.45,critical_gap,critical_gap,needs_improvement,critical_gap,critical_gap,critical_gap
4.24,3.74,3.06,3.56,5.0,critical_gap,meets_expectations,needs_improvement,critical_gap,needs_improvement,meets_expectations
